지역별,성별,1종대형,1종보통,1종소형,대형견인,소형견인,구난,2종보통,2종소형,원자
서울,남,253607,2557639,97,24362,4143,14993,1536235,108959,223938
서울,여,7503,769668,0,141,173,80,2327886,2799,9767
부산,남,129926,946232,32,36015,2109,8357,373081,33476,84702
부산,여,2936,288345,0,170,61,49,671835,521,4505
대구,남,108466,752564,32,12037,1881,5589,201310,28655,80040
대구,여,2543,293607,0,49,108,18,485510,425,6545
인천,남,148307,872475,12,22566,2164,7072,328435,28203,73753
인천,여,4193,279637,0,140,87,34,606033,617,3538
광주,남,79237,430695,0,9300,1096,3686,128813,11155,38526
광주,여,2643,176210,0,56,52,17,288305,189,2153
대전,남,64379,432489,1,8162,1825,4246,160900,14739,43036
대전,여,1707,164380,0,48,68,18,311144,350,3319
울산,남,58607,367501,2,9621,792,2706,111288,13126,34013
울산,여,1669,136137,0,46,24,13,239987,163,2275
경기남부,남,409649,2963785,28,47197,8621,26392,1259023,103914,241749
경기남부,여,11940,931782,0,273,370,114,2248879,2435,11461
경기북부,남,166322,1008594,24,15974,2860,9820,473309,42437,95207
경기북부,여,5215,328419,0,123,162,75,808462,920,4203
강원,남,98802,471249,7,10910,2145,6377,174745,18369,72212
강원,여,2543,182436,0,67,86,48,310167,279,5085
충북,남,95773,493782,5,13526,1690,6136,173113,19086,75102
충북,여,2594,179482,0,79,82,14,315063,348,9150
충남,남,130361,635460,3,16866,2835,7560,219217,26556,109210
충남,여,3493,219303,0,112,117,34,385614,435,15267
전북,남,121748,528743,4,15852,1061,4888,189445,16168,83975
전북,여,3013,200377,0,95,48,26,336552,232,8964
전남,남,128208,530016,0,21325,1386,5247,178522,14883,93223
전남,여,3680,188391,0,130,51,21,299225,214,12082
경북,남,162029,841617,18,25056,2968,9736,187873,31385,147576
경북,여,3345,362661,0,88,133,35,392337,425,20684
경남,남,175148,1005184,19,27814,2530,9051,350773,34773,138937
경남,여,4806,364950,0,183,75,42,640157,526,19715
제주,남,43479,203223,4,2778,797,1976,75673,7152,23577
제주,여,1141,96169,0,15,12,10,140804,149,4879
세종,남,15167,101520,2,1843,621,842,34247,3574,10266
세종,여,551,41908,0,9,30,8,78005,71,1202
